ds,yhat,yhat_lower,yhat_upper
2014-01-01,16956.114468409338,8527.621027942601,25961.07429597133
2014-02-01,3734.545825552268,-5025.935135088887,12307.245447829324
2014-03-01,42557.62234307697,33789.92314506285,51726.123708338084
2014-04-01,26439.241492292214,17407.97553810015,34697.44646464325
2014-05-01,26642.889287741724,17585.1351423497,35367.243226844286
2014-06-01,27772.562700581282,18806.42849177868,36434.36222556231
2014-07-01,27547.20902774384,19147.22191797849,36272.43737795057
2014-08-01,31866.76086370262,23352.516187584813,41106.95659538855
2014-09-01,68461.81651362382,59375.03630779783,76775.9948908587
2014-10-01,36668.76251882545,27825.606537321062,45327.15276403006
2014-11-01,78435.42697012024,69752.62724866526,86779.05280188535
2014-12-01,69793.5069612512,61442.24925509096,78349.54049775649
2015-01-01,17863.069787540066,8892.120202947017,25929.227628140892
2015-02-01,13096.006558662852,3696.250426834047,21440.608750481784
2015-03-01,47137.45375121568,38421.71271227243,55110.7717359796
2015-04-01,32766.496762383,24800.68394775404,41999.799413338405
2015-05-01,25301.90632591495,17140.73929888564,33817.16499336105
2015-06-01,30574.127851016085,21486.051190807462,38939.33684371353
2015-07-01,33070.95972876277,24509.35569912765,41715.021635049634
2015-08-01,40373.64087282888,31680.43370049486,48997.1151365774
2015-09-01,75927.09611971246,67222.35919626338,84228.41772780202
2015-10-01,34855.241617867905,26043.91536155815,43683.38445034178
2015-11-01,85261.42999196477,76621.93057510427,93658.478803354
2015-12-01,73814.40124745345,65518.604270341726,82727.98151688406
2016-01-01,20141.227959527758,11435.946873614306,28466.4441555076
2016-02-01,24221.891918768815,15016.067562266955,33560.97971705953
2016-03-01,52813.62524203685,43569.02511663801,61101.78136774013
2016-04-01,33512.32200553137,25073.305012080793,41892.8066489981
2016-05-01,49671.05856136287,40813.32826632354,57960.903591574934
2016-06-01,43396.235631754585,34835.755189904026,51897.88912308078
2016-07-01,38166.064398313065,29725.039121409885,46535.5617068945
2016-08-01,36678.08896363519,27660.872497564204,45201.9301111164
2016-09-01,75248.75283825204,65684.37525658392,84706.73210199062
2016-10-01,62781.5382676531,53498.416389840015,70897.55300586567
2016-11-01,88722.81721800451,80125.41092168655,96543.42273186658
2016-12-01,86729.86585750479,77758.32905544808,95537.13055528681
2017-01-01,39983.44076311647,31163.182880195935,48561.62669276611
2017-02-01,18713.21988468799,10006.946253781865,27085.74693814144
2017-03-01,62532.433069127655,53793.978046338,71792.68832277326
2017-04-01,45054.40790704658,35742.61781152342,53908.30698118614
2017-05-01,53409.41007682313,44133.123982602694,62130.27893100443
2017-06-01,50972.09227822557,42415.1217840696,59926.999236818556
2017-07-01,48443.1997897396,39528.39175995171,56343.09731432102
2017-08-01,50114.70714433894,41224.001386090546,58170.97648377066
2017-09-01,88000.20598938185,79446.93918254948,96391.39351551858
2017-10-01,66019.9104335379,57243.088182095315,75255.93375587028
2017-11-01,100051.69014445075,91998.11040734714,109107.58307552712
2017-12-01,94971.17061432911,85883.04053685426,103800.85207572981
2018-01-01,45772.77028639805,36695.72673662507,54728.21775815824
2018-02-01,32975.25510642463,24256.486412052764,41930.49731238936
2018-03-01,72181.34765539448,63973.746223050046,81088.0331770751
2018-04-01,56487.02026797147,47557.81095156072,64727.54061782856
2018-05-01,57101.04238296818,48272.00961824312,65830.52519003185
2018-06-01,58654.769259175155,50067.74213273148,67244.01233371487
